postcode,EstimatedPopulation2017,CensusPopulation2011,Aged00to04,Aged05to09,Aged10to14,Aged15to19,Aged20to24,Aged25to29,Aged30to34,Aged35to39,Aged40to44,Aged45to49,Aged50to54,Aged55to59,Aged60to64,Aged65to69,Aged70to74,Aged75to79,Aged80to84,Aged85plus,RelativeSEAdDisad_1,RelativeSEAdDisad_2,RelativeSEAdDisad_3,RelativeSEAdDisad_4,RelativeSEAdDisad_5,RelativeSEAdDisad_6,RelativeSEAdDisad_7,RelativeSEAdDisad_8,RelativeSEAdDisad_9,RelativeSEAdDisad_10,RelativeSEAdDisad_WeightedAverage
4275,3148.31,3121.62,0.06,0.09,0.10,0.08,0.04,0.03,0.04,0.09,0.12,0.07,0.07,0.07,0.04,0.06,0.03,0.01,0.00,0.01,,,295,,573,"1,564",597,,,119,5.9
4280,9394.38,14866.17,0.05,0.07,0.10,0.08,0.04,0.04,0.05,0.08,0.10,0.08,0.09,0.07,0.06,0.04,0.02,0.01,0.01,0.02,,,371,"1,094","2,063","3,008","2,461",397,,,5.8
4285,16039.21,18289.92,0.06,0.06,0.07,0.07,0.04,0.03,0.06,0.05,0.06,0.07,0.07,0.07,0.10,0.06,0.05,0.04,0.03,0.02,"3,685","1,354","2,335","1,677","1,771","3,368","1,494",355,,,3.9
4287,791.32,720.23,0.04,0.04,0.06,0.06,0.04,0.03,0.07,0.03,0.05,0.08,0.11,0.08,0.10,0.06,0.05,0.06,0.03,0.01,188,,265,337,,,,,,,3.0
4300,51170.86,43208.25,0.09,0.09,0.08,0.07,0.08,0.08,0.09,0.10,0.08,0.06,0.05,0.03,0.03,0.02,0.03,0.01,0.01,0.01,"5,303","5,442","4,390","2,052","5,010","5,649","4,894","4,231","1,789","5,566",4.6
4301,28396.43,23228.32,0.12,0.10,0.10,0.09,0.09,0.08,0.08,0.05,0.04,0.04,0.06,0.05,0.04,0.03,0.01,0.01,0.01,0.00,"2,940","3,551","14,483","1,917","2,477","1,829",499,,,,3.1
4303,4709.59,4170.00,0.08,0.12,0.09,0.03,0.10,0.06,0.08,0.05,0.04,0.04,0.04,0.06,0.05,0.05,0.07,0.02,0.02,0.02,"4,217",470,,,,,,,,,1.1
4304,18663.49,15579.00,0.09,0.06,0.07,0.06,0.07,0.07,0.09,0.06,0.07,0.08,0.04,0.04,0.06,0.06,0.03,0.02,0.02,0.02,"3,159","7,073","5,889","2,543",,,,,,,2.4
4305,66481.68,57787.85,0.08,0.07,0.06,0.08,0.06,0.08,0.08,0.06,0.07,0.07,0.05,0.06,0.05,0.05,0.04,0.03,0.02,0.02,"10,519","14,669","11,631","13,519","7,477","3,166","1,995","1,573","1,380",245,3.4
4306,37196.92,31801.65,0.05,0.06,0.06,0.05,0.05,0.06,0.07,0.08,0.08,0.08,0.09,0.10,0.06,0.05,0.04,0.02,0.01,0.01,"2,282","1,749",535,"2,091","6,801","6,805","3,817","2,945","6,444","3,428",6.3
4307,1684.17,1572.25,0.08,0.10,0.07,0.06,0.06,0.07,0.07,0.05,0.06,0.08,0.07,0.04,0.03,0.06,0.04,0.03,0.02,0.01,,,461,,676,547,,,,,4.8
4309,2942.81,2785.00,0.07,0.08,0.06,0.05,0.05,0.07,0.06,0.05,0.06,0.08,0.07,0.05,0.03,0.07,0.06,0.05,0.02,0.01,,,"1,263",260,"1,138",281,,,,,4.1
4310,5915.50,5260.57,0.06,0.08,0.06,0.05,0.05,0.07,0.06,0.05,0.05,0.08,0.07,0.05,0.04,0.07,0.07,0.05,0.03,0.03,403,493,"1,741",326,"2,953",,,,,,3.8
4311,9928.01,9348.64,0.07,0.07,0.07,0.07,0.05,0.05,0.04,0.07,0.09,0.07,0.07,0.08,0.06,0.06,0.05,0.02,0.01,0.01,"2,272","3,739","1,740","1,476",303,398,,,,,2.5
4312,2958.83,2566.00,0.05,0.08,0.07,0.05,0.04,0.03,0.09,0.02,0.04,0.07,0.10,0.09,0.07,0.05,0.07,0.05,0.01,0.03,611,557,667,925,,199,,,,,2.9
